iter	Passed	Remaining
932	35225	2529
933	35257	2491
934	35288	2453
935	35319	2414
936	35350	2376
937	35382	2338
938	35414	2300
939	35447	2262
940	35549	2228
941	35593	2191
942	35632	2153
943	35667	2115
944	35699	2077
945	35734	2039
946	35768	2001
947	35800	1963
948	35834	1925
949	35867	1887
950	35897	1849
951	35928	1811
952	35971	1774
953	36008	1736
954	36046	1698
955	36081	1660
956	36115	1622
957	36152	1584
958	36194	1547
959	36242	1510
960	36285	1472
961	36318	1434
962	36349	1396
963	36379	1358
964	36411	1320
965	36443	1282
966	36474	1244
967	36508	1206
968	36540	1168
969	36685	1134
970	36723	1096
971	36765	1059
972	36822	1021
973	36874	984
974	36931	946
975	36980	909
976	37017	871
977	37070	833
978	37117	796
979	37163	758
980	37214	720
981	37268	683
982	37318	645
983	37367	607
984	37416	569
985	37459	531
986	37497	493
987	37539	455
988	37590	418
989	37632	380
990	37679	342
991	37785	304
992	37833	266
993	37872	228
994	37907	190
995	37940	152
996	37979	114
997	38011	76
998	38050	38
999	38098	0
