Metropolitan Statistical Areas,Per capita personal income 2018,Per capita personal income 2019,Per capita personal income 2020,Per capita personal income Rank in United States 2020,Percent change 2019,Percent change 2020,Rank in United States Percent change from preceding period 2020
"Ocala, FL","37,497","38,754","41,553",358,3.4,7.2,139
"Ocean City, NJ","60,246","63,203","67,836",24,4.9,7.3,133
"Odessa, TX","49,458","52,079","49,887",203,5.3,-4.2,383
"Ogden-Clearfield, UT","43,682","46,201","49,371",216,5.8,6.9,170
"Oklahoma City, OK","48,300","51,408","52,688",149,6.4,2.5,371
"Olympia-Lacey-Tumwater, WA","49,483","52,010","56,007",103,5.1,7.7,109
"Omaha-Council Bluffs, NE-IA","57,457","58,368","61,040",60,1.6,4.6,324
"Orlando-Kissimmee-Sanford, FL","43,970","45,718","48,223",237,4.0,5.5,278
"Oshkosh-Neenah, WI","47,644","48,943","50,840",184,2.7,3.9,347
"Owensboro, KY","40,785","42,380","45,684",289,3.9,7.8,106
"Oxnard-Thousand Oaks-Ventura, CA","60,238","63,190","67,422",26,4.9,6.7,183
"Palm Bay-Melbourne-Titusville, FL","46,145","48,539","51,507",172,5.2,6.1,226
"Panama City, FL","43,020","46,818","50,696",186,8.8,8.3,78
"Parkersburg-Vienna, WV","43,479","45,758","47,706",252,5.2,4.3,337
"Pensacola-Ferry Pass-Brent, FL","43,699","45,259","48,154",238,3.6,6.4,209
"Peoria, IL","48,056","48,746","52,742",148,1.4,8.2,83
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","64,053","65,733","69,705",21,2.6,6.0,231
"Phoenix-Mesa-Chandler, AZ","46,140","48,082","51,851",163,4.2,7.8,104
"Pine Bluff, AR","33,869","35,151","37,962",378,3.8,8.0,91
"Pittsburgh, PA","58,000","59,494","63,675",39,2.6,7.0,155
"Pittsfield, MA","55,947","57,300","61,872",49,2.4,8.0,92
"Pocatello, ID","37,248","38,901","42,186",348,4.4,8.4,67
"Portland-South Portland, ME","57,732","59,724","63,497",41,3.5,6.3,214
"Portland-Vancouver-Hillsboro, OR-WA","56,762","58,941","62,603",44,3.8,6.2,221
"Port St. Lucie, FL","54,988","56,602","58,649",78,2.9,3.6,353
"Poughkeepsie-Newburgh-Middletown, NY","53,225","55,508","59,690",70,4.3,7.5,116
"Prescott Valley-Prescott, AZ","40,098","41,076","44,490",316,2.4,8.3,75
"Providence-Warwick, RI-MA","53,771","56,197","60,897",61,4.5,8.4,72
"Provo-Orem, UT","40,896","43,520","46,393",278,6.4,6.6,191
"Pueblo, CO","37,969","39,533","43,196",337,4.1,9.3,41
"Punta Gorda, FL","42,292","43,549","45,606",290,3.0,4.7,314
"Racine, WI","49,191","50,729","53,094",139,3.1,4.7,318
"Raleigh-Cary, NC","56,139","58,147","60,884",62,3.6,4.7,315
"Rapid City, SD","50,230","52,133","55,187",114,3.8,5.9,244
"Reading, PA","49,549","51,606","55,953",105,4.2,8.4,69
"Redding, CA","44,549","46,417","51,649",170,4.2,11.3,19
"Reno, NV","61,005","62,954","66,075",33,3.2,5.0,303
"Richmond, VA","56,101","58,111","61,148",58,3.6,5.2,286
"Riverside-San Bernardino-Ontario, CA","39,403","40,988","45,365",295,4.0,10.7,24
"Roanoke, VA","46,032","46,891","50,215",197,1.9,7.1,148
"Rochester, MN","54,635","55,770","59,842",69,2.1,7.3,135
"Rochester, NY","50,554","52,480","56,477",99,3.8,7.6,114
"Rockford, IL","43,824","44,621","47,982",244,1.8,7.5,117
"Rocky Mount, NC","39,030","40,816","43,623",331,4.6,6.9,168
"Rome, GA","37,593","38,630","41,238",360,2.8,6.8,177
"Sacramento-Roseville-Folsom, CA","54,832","57,014","61,852",50,4.0,8.5,66
"Saginaw, MI","39,289","41,659","45,328",298,6.0,8.8,53
"St. Cloud, MN","45,837","47,119","50,850",183,2.8,7.9,96
"St. George, UT","39,964","41,869","43,782",329,4.8,4.6,325
"St. Joseph, MO-KS","38,098","40,709","43,061",339,6.9,5.8,253
"St. Louis, MO-IL","55,533","57,615","60,844",63,3.7,5.6,266
"Salem, OR","42,119","44,118","47,638",253,4.7,8.0,93
"Salinas, CA","53,625","56,545","61,510",54,5.4,8.8,54
"Salisbury, MD-DE","48,086","49,074","51,228",176,2.1,4.4,333
"Salt Lake City, UT","51,253","54,456","58,008",86,6.2,6.5,197
"San Angelo, TX","48,865","51,990","53,305",138,6.4,2.5,370
"San Antonio-New Braunfels, TX","48,192","48,025","50,022",200,-0.3,4.2,342
"San Diego-Chula Vista-Carlsbad, CA","58,719","60,845","66,266",32,3.6,8.9,50
"San Francisco-Oakland-Berkeley, CA","97,681","102,406","111,050",4,4.8,8.4,68
"San Jose-Sunnyvale-Santa Clara, CA","106,568","112,693","121,619",2,5.7,7.9,95
"San Luis Obispo-Paso Robles, CA","55,913","58,693","62,342",45,5.0,6.2,220
"Santa Cruz-Watsonville, CA","65,751","68,990","75,957",14,4.9,10.1,29
"Santa Fe, NM","58,525","60,301","63,004",42,3.0,4.5,331
"Santa Maria-Santa Barbara, CA","60,818","62,715","67,879",23,3.1,8.2,82
"Santa Rosa-Petaluma, CA","61,501","64,869","71,386",16,5.5,10.0,31
"Savannah, GA","46,990","47,964","51,184",177,2.1,6.7,182
"Scranton--Wilkes-Barre, PA","45,522","46,925","51,246",174,3.1,9.2,44
"Seattle-Tacoma-Bellevue, WA","72,685","75,970","80,420",10,4.5,5.9,245
"Sebastian-Vero Beach, FL","79,972","83,241","84,607",7,4.1,1.6,378
"Sebring-Avon Park, FL","33,047","34,433","37,158",380,4.2,7.9,97
"Sheboygan, WI","52,880","53,217","55,616",111,0.6,4.5,330
"Sherman-Denison, TX","43,052","44,585","47,045",264,3.6,5.5,275
"Shreveport-Bossier City, LA","46,853","48,256","52,391",153,3.0,8.6,62
"Sierra Vista-Douglas, AZ","38,892","40,546","45,786",288,4.3,12.9,10
"Sioux City, IA-NE-SD","50,677","52,855","56,131",101,4.3,6.2,222
"Sioux Falls, SD","60,254","64,219","67,117",29,6.6,4.5,329
"South Bend-Mishawaka, IN-MI","47,206","47,759","51,017",180,1.2,6.8,174
"Spartanburg, SC","42,669","44,151","46,543",275,3.5,5.4,281
"Spokane-Spokane Valley, WA","44,631","46,337","49,449",214,3.8,6.7,181
"Springfield, IL","47,642","49,212","52,782",146,3.3,7.3,137
"Springfield, MA","51,697","53,413","57,843",88,3.3,8.3,77
"Springfield, MO","41,339","42,993","44,565",310,4.0,3.7,352
"Springfield, OH","40,263","41,625","45,363",296,3.4,9.0,48
"State College, PA","46,210","47,947","50,615",187,3.8,5.6,271
"Staunton, VA","43,388","44,917","47,794",248,3.5,6.4,207
"Stockton, CA","43,077","45,075","51,816",166,4.6,15.0,5
"Sumter, SC","37,440","38,573","41,807",352,3.0,8.4,71
"Syracuse, NY","49,369","51,181","55,563",112,3.7,8.6,63
"Tallahassee, FL","42,507","44,003","46,685",271,3.5,6.1,228
"Tampa-St. Petersburg-Clearwater, FL","47,362","49,186","52,291",156,3.9,6.3,216
