"","msa","naics","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n.5","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4"
"77",13260,"------","G",12104,"H",125597,"H",503323,918,"454","224","114","78","28","17","N","N","N","N","N","N","N"
"78",13300,"------","G",5427,"G",46618,"G",182532,481,"264","80","81","35","14","5","N","N","N","N","N","N","N"
"79",13340,"------","H",16905,"H",184331,"H",782131,829,"399","194","115","78","19","14","5","N","3","N","N","N","N"
"80",13380,"------","G",78090,"G",898972,"G",3693307,6838,"3910","1245","863","552","159","83","18","7","N","N","N","N","N"
"81",13420,"------","G",15425,"G",132244,"G",584308,1212,"603","258","183","112","34","19","N","N","N","N","N","N","N"
"82",13460,"------","G",71896,"G",738968,"G",3199202,7669,"4668","1342","885","563","135","56","15","4","N","N","N","N","N"
"83",13500,"------","G",5251,"G",50850,"G",188814,316,"158","74","37","26","12","4","5","N","N","N","N","N","N"
"84",13540,"------","G",15873,"G",147162,"G",621354,1325,"741","270","188","75","26","18","5","N","N","N","N","N","N"
"85",13620,"------","G",9450,"G",83678,"G",355486,955,"559","192","111","61","23","7","N","N","N","N","N","N","N"
"86",13660,"------","G",9619,"H",75171,"H",324246,707,"362","146","100","70","12","9","8","N","N","N","N","N","N"
"87",13700,"------","G",10153,"G",131616,"G",527376,799,"385","178","126","81","14","11","N","N","N","N","N","N","N"
"88",13720,"------","G",14407,"G",126718,"G",505588,1048,"496","255","162","89","23","17","3","3","N","N","N","N","N"
"89",13740,"------","G",73002,"G",833053,"G",3433775,6078,"3400","1108","789","531","154","74","15","4","3","N","3","N","N"
"90",13780,"------","G",79714,"G",828832,"G",3345173,4908,"2381","1032","707","510","147","94","25","9","3","N","N","N","N"
"91",13820,"------","G",471107,"G",6451852,"G",24802267,26142,"12905","5197","3587","2789","925","511","152","44","32","20","7","4","N"
"92",13900,"------","G",59444,"G",698459,"G",2838465,3971,"2094","735","565","374","112","64","19","5","3","N","N","N","N"
"93",13940,"------","G",10970,"G",103018,"G",433493,908,"530","164","107","73","18","8","6","N","N","N","N","N","N"
"94",13980,"------","G",52293,"G",511920,"G",2108507,3508,"1801","717","494","324","105","48","10","7","N","N","N","N","N"
"95",14010,"------","G",76945,"H",1122797,"H",4072365,3894,"1816","788","610","449","140","65","14","7","5","N","N","N","N"
"96",14020,"------","G",55744,"G",545626,"G",2303010,3466,"1704","718","514","330","123","58","13","N","4","N","N","N","N"
"97",14100,"------","G",38242,"H",489640,"H",2037961,1850,"952","344","242","193","59","39","12","8","N","N","N","N","N"
"98",14140,"------","G",29121,"G",262021,"G",1061168,2154,"1036","475","330","202","73","27","9","N","N","N","N","N","N"
"99",14180,"------","G",14618,"G",192836,"G",800831,759,"352","183","104","68","31","11","5","3","N","N","N","N","N"
"100",14220,"------","G",8091,"H",81682,"G",299575,625,"312","152","91","46","14","6","N","N","N","N","N","N","N"
"101",14260,"------","G",278916,"G",3207263,"G",13411249,20353,"11362","3618","2584","1812","570","297","71","30","9","3","3","N","N"
"102",14300,"------","G",5665,"G",52602,"G",223034,504,"285","109","53","42","5","9","N","N","N","N","N","N","N"
"103",14340,"------","G",6826,"G",66875,"G",277432,595,"358","112","57","43","12","11","N","N","N","N","N","N","N"
"104",14380,"------","G",19081,"G",152373,"G",665163,1668,"947","306","203","146","44","19","N","N","N","N","N","N","N"
"105",14420,"------","G",5980,"H",98951,"G",374487,425,"201","101","72","28","13","8","N","N","N","N","N","N","N"
"106",14460,"------","G",2595753,"G",53727811,"G",199730357,132059,"69050","24362","17232","12756","4530","2886","771","296","176","69","67","25","15"
"107",14500,"------","G",156833,"G",2708359,"G",10686121,12856,"7928","1920","1457","991","327","174","36","14","9","6","N","N","N"
"108",14540,"------","G",61927,"G",634095,"G",2609249,3378,"1515","734","510","396","123","70","21","6","3","N","N","N","N"
"109",14580,"------","G",50667,"G",520738,"G",2219894,6009,"3860","913","645","429","119","34","7","N","N","N","N","N","N"
"110",14620,"------","G",12291,"G",121824,"G",495291,958,"500","220","122","72","19","20","4","N","N","N","N","N","N"
"111",14660,"------","G",34362,"G",298310,"G",1328534,3046,"1736","572","386","234","69","37","9","3","N","N","N","N","N"
"112",14700,"------","G",30184,"G",197169,"G",926412,2524,"1372","498","325","225","69","26","6","N","N","N","N","N","N"
"113",14720,"------","G",22640,"G",197606,"G",752017,2305,"1498","349","245","160","33","15","N","N","3","N","3","N","N"
"114",14740,"------","G",63818,"G",654576,"G",2775347,6052,"3486","1180","727","449","129","61","16","N","3","N","N","N","N"
"115",14780,"------","G",12802,"G",119455,"G",494473,919,"446","212","130","88","24","13","5","N","N","N","N","N","N"
"116",14820,"------","G",7973,"G",64313,"G",269636,875,"523","156","103","70","13","8","N","N","N","N","N","N","N"
"117",14860,"------","G",422988,"G",10323318,"G",35015127,26947,"14734","4966","3386","2457","756","470","111","38","29","12","12","4","N"
"118",15020,"------","G",11293,"G",108300,"G",421636,809,"407","189","108","73","17","9","N","4","N","N","N","N","N"
"119",15060,"------","G",5485,"G",47716,"G",202998,706,"427","150","80","38","6","3","N","N","N","N","N","N","N"
"120",15100,"------","G",14100,"G",147276,"G",580662,896,"450","191","140","74","25","8","5","N","N","N","N","N","N"
"121",15140,"------","H",4584,"H",46546,"H",189112,294,"162","57","35","29","5","3","N","N","N","N","N","N","N"
"122",15180,"------","G",110105,"G",768486,"G",3190293,6512,"3144","1303","1042","640","188","133","44","13","5","4","N","N","N"
"123",15220,"------","G",13552,"G",120659,"G",480955,846,"404","196","126","83","23","7","4","N","N","N","N","N","N"
"124",15260,"------","G",34807,"G",321278,"G",1311996,2969,"1717","543","348","245","69","33","9","4","N","N","N","N","N"
"125",15340,"------","G",12435,"G",116995,"G",461939,772,"388","155","113","72","24","12","7","N","N","N","N","N","N"
"126",15380,"------","G",490650,"G",5799323,"G",23024374,27352,"13680","5203","3944","2787","963","539","145","55","36","20","11","4","N"
"127",15420,"------","G",14036,"G",131670,"G",568195,1181,"653","214","161","105","26","16","4","N","N","N","N","N","N"
"128",15460,"------","G",20554,"G",210410,"G",847520,1202,"578","277","173","110","34","17","8","4","N","N","N","N","N"
"129",15500,"------","G",61650,"G",597288,"G",2453856,3346,"1549","706","490","373","132","69","17","8","N","N","N","N","N"
"130",15540,"------","G",103423,"G",1279886,"G",5179417,6875,"3576","1298","980","656","208","125","22","5","5","3","N","N","N"
"131",15580,"------","G",13014,"G",132331,"G",530833,1143,"591","252","161","96","29","9","5","N","N","N","N","N","N"
"132",15620,"------","G",15023,"G",140422,"G",576284,1175,"608","251","169","105","21","13","5","3","N","N","N","N","N"
"133",15660,"------","G",19993,"G",229274,"G",902326,1027,"514","218","128","97","32","25","7","6","N","N","N","N","N"
"134",15680,"------","G",32995,"G",437051,"G",1821649,2014,"957","414","301","222","60","46","11","N","N","N","N","N","N"
"135",15700,"------","G",9872,"G",90263,"G",389762,679,"375","131","88","53","17","11","3","N","N","N","N","N","N"
"136",15740,"------","G",13689,"G",136460,"G",550304,844,"397","193","112","83","35","16","6","N","N","N","N","N","N"
"137",15780,"------","G",7905,"G",84109,"G",329474,562,"301","134","64","38","13","7","3","N","N","N","N","N","N"
"138",15820,"------","G",10461,"G",76248,"G",325384,628,"356","106","97","43","9","10","3","N","N","N","N","N","N"
"139",15860,"------","G",8352,"G",69784,"G",290670,877,"479","214","105","54","11","12","N","N","N","N","N","N","N"
"140",15900,"------","G",5791,"G",48163,"G",198834,608,"323","152","76","39","11","6","N","N","N","N","N","N","N"
"141",15940,"------","G",152695,"G",1551930,"G",6275240,8524,"3835","1889","1279","946","334","174","48","12","7","5","N","N","N"
"142",15980,"------","G",232778,"G",2552805,"G",10023842,19540,"11791","3128","2180","1575","525","270","55","8","8","N","4","N","N"
"143",16020,"------","G",40149,"G",384371,"G",1590330,2608,"1267","515","401","286","96","27","12","N","N","N","N","N","N"
"144",16060,"------","G",40650,"G",391583,"G",1591579,2829,"1348","621","436","295","81","32","10","4","N","N","N","N","N"
"145",16100,"------","G",26347,"G",392195,"G",1568051,1513,"628","310","260","214","61","27","12","N","N","N","N","N","N"
"146",16140,"------","G",10264,"G",91458,"G",381756,857,"488","175","101","63","16","9","3","N","N","N","N","N","N"
"147",16180,"------","G",22261,"G",251101,"G",1032978,1890,"1060","325","235","196","43","25","4","N","N","N","N","N","N"
"148",16220,"------","G",32242,"G",405604,"G",1699429,2928,"1519","616","408","277","76","27","4","N","N","N","N","N","N"
"149",16260,"------","G",15254,"G",117030,"G",498601,1549,"950","240","176","142","20","15","6","N","N","N","N","N","N"
"150",16300,"------","G",130186,"G",1659030,"G",6767453,6750,"3315","1254","1018","750","226","133","31","11","12","5","5","N","N"
"151",16340,"------","G",10588,"G",99814,"G",393815,609,"309","145","66","54","18","13","N","N","N","N","N","N","N"
"152",16380,"------","G",16907,"G",159452,"G",680855,1028,"498","198","166","108","25","25","4","4","N","N","N","N","N"
"153",16420,"------","G",6437,"G",58418,"G",234871,541,"293","111","70","46","14","3","4","N","N","N","N","N","N"
"154",16460,"------","G",11032,"G",102345,"G",417869,864,"470","179","122","59","18","11","3","N","N","N","N","N","N"
"155",16500,"------","G",21311,"G",208821,"G",903935,1944,"1061","418","240","146","46","29","3","N","N","N","N","N","N"
"156",16540,"------","G",51117,"G",521309,"G",2098753,3079,"1502","597","472","333","86","65","15","8","N","N","N","N","N"
"157",16580,"------","G",76366,"G",822620,"G",3422963,4898,"2374","982","751","532","160","70","20","7","N","N","N","N","N"
"158",16620,"------","G",84200,"G",1026206,"G",3969827,4960,"2279","1091","739","543","170","106","21","7","4","N","N","N","N"
"159",16660,"------","G",20993,"G",195106,"G",787062,1336,"651","309","188","114","41","25","3","4","N","N","N","N","N"
"160",16700,"------","G",297386,"G",3586759,"G",14203022,20282,"10852","3632","2627","2084","671","315","62","24","15","6","8","N","N"
"161",16740,"------","G",1112982,"G",17366239,"G",63069047,63874,"34474","10979","8002","6328","2370","1208","333","100","80","47","15","15","3"
"162",16820,"------","G",87991,"G",1145458,"G",4740539,6222,"3351","1117","857","613","170","84","23","3","4","3","N","N","N"
"163",16860,"------","G",230512,"G",2542596,"G",10054217,11699,"5393","2435","1720","1376","426","253","58","21","17","7","4","5","N"
"164",16940,"------","G",34602,"G",370263,"G",1586353,3355,"2067","539","362","275","76","24","8","3","N","N","N","N","N"
"165",16980,"------","G",4225657,"G",71057599,"G",267734426,248428,"144110","39560","28058","21928","7810","4932","1286","443","301","145","95","41","20"
"166",17020,"------","G",63691,"G",642656,"G",2704786,4637,"2428","888","640","479","141","42","10","5","4","N","N","N","N"
