MSA,year
"Little Rock-North Little Rock-Conway, AR",2018
"Longview, TX",2018
"Los Angeles-Long Beach-Glendale, CA",2018
"Lubbock, TX",2018
"Lynchburg, VA",2018
"Macon-Bibb County, GA",2018
"Madera, CA",2018
"Madison, WI",2018
"Manhattan, KS",2018
"Mankato, MN",2018
"Mansfield, OH",2018
"McAllen-Edinburg-Mission, TX",2018
"Medford, OR",2018
"Memphis, TN-MS-AR",2018
"Merced, CA",2018
"Miami-Miami Beach-Kendall, FL",2018
"Midland, MI",2018
"Milwaukee-Waukesha, WI",2018
"Minneapolis-St. Paul-Bloomington, MN-WI",2018
"Mobile, AL",2018
"Modesto, CA",2018
"Monroe, MI",2018
"Montgomery, AL",2018
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018
"Morgantown, WV",2018
"Morristown, TN",2018
"Mount Vernon-Anacortes, WA",2018
"Muskegon, MI",2018
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2018
"Napa, CA",2018
"Naples-Marco Island, FL",2018
"Nashville-Davidson--Murfreesboro--Franklin, TN",2018
"New York-Newark-Jersey City, NY-NJ-PA",2018
"New York-Newark-Jersey City, NY-NJ-PA",2018
"New Bern, NC",2018
"New York-Newark-Jersey City, NY-NJ-PA",2018
"Niles, MI",2018
"North Port-Sarasota-Bradenton, FL",2018
"Oakland-Hayward-Berkeley, CA",2018
"Ocala, FL",2018
"Ocean City, NJ",2018
"Odessa, TX",2018
"Ogden-Clearfield, UT",2018
"Oklahoma City, OK",2018
"Olympia-Lacey-Tumwater, WA",2018
"Omaha-Council Bluffs, NE-IA",2018
"Orlando-Kissimmee-Sanford, FL",2018
"Oshkosh-Neenah, WI",2018
"Oxnard-Thousand Oaks-Ventura, CA",2018
"Palm Bay-Melbourne-Titusville, FL",2018
"Panama City, FL",2018
"Parkersburg-Vienna, WV",2018
"Pensacola-Ferry Pass-Brent, FL",2018
"Peoria, IL",2018
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018
"Phoenix-Mesa-Chandler, AZ",2018
"Pittsburgh, PA",2018
"Portland-Vancouver-Hillsboro, OR-WA",2018
"Port St. Lucie, FL",2018
"Prescott, AZ",2018
"Providence-Warwick, RI-MA",2018
"Provo-Orem, UT",2018
"Punta Gorda, FL",2018
"Racine, WI",2018
"Raleigh-Cary, NC",2018
"Rapid City, SD",2018
"Reading, PA",2018
"Reno, NV",2018
"Richmond, VA",2018
"Riverside-San Bernardino-Ontario, CA",2018
"Roanoke, VA",2018
"Rochester, MN",2018
"Rochester, NY",2018
"Rockford, IL",2018
"Rocky Mount, NC",2018
"Rome, GA",2018
"Sacramento-Roseville-Folsom, CA",2018
"Saginaw, MI",2018
"St. George, UT",2018
"St. Joseph, MO-KS",2018
"St. Louis, MO-IL",2018
"Salem, OR",2018
"Salinas, CA",2018
"Salisbury, MD-DE",2018
"Salt Lake City, UT",2018
"San Angelo, TX",2018
"San Antonio-New Braunfels, TX",2018
"San Diego-Chula Vista-Carlsbad, CA",2018
"San Francisco-Redwood City-South San Francisco, CA",2018
"San Jose-Sunnyvale-Santa Clara, CA",2018
"San Luis Obispo-Paso Robles, CA",2018
"San Rafael, CA",2018
