,MSA,year,income_pc
323,"Tampa-St. Petersburg-Clearwater, FL",2019,49186
324,"Toledo, OH",2019,48252
325,"Topeka, KS",2019,47253
326,"Trenton-Princeton, NJ",2019,70675
327,"Tyler, TX",2019,55986
328,"Utica-Rome, NY",2019,45855
329,"Victoria, TX",2019,52268
330,"Virginia Beach-Norfolk-Newport News, VA-NC",2019,49792
331,"Waco, TX",2019,42274
332,"Detroit-Warren-Dearborn, MI",2019,54213
333,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2019,73059
334,"Weirton-Steubenville, WV-OH",2019,42338
335,"West Palm Beach-Boca Raton-Delray Beach, FL",2019,
336,"Wichita, KS",2019,52706
337,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
338,"Wilmington, NC",2019,46620
339,"Winchester, VA-WV",2019,49538
340,"Winston-Salem, NC",2019,45600
341,"York-Hanover, PA",2019,52015
342,"Albany, GA",2020,42744
343,"Anaheim-Santa Ana-Irvine, CA",2020,
344,"Ann Arbor, MI",2020,63655
345,"Atlanta-Sandy Springs-Alpharetta, GA",2020,58773
346,"Augusta-Richmond County, GA-SC",2020,46594
347,"Austin-Round Rock-Georgetown, TX",2020,64913
348,"Baltimore-Columbia-Towson, MD",2020,66695
349,"Beaumont-Port Arthur, TX",2020,47281
350,"Bend, OR",2020,61216
351,"Binghamton, NY",2020,49652
352,"Birmingham-Hoover, AL",2020,55074
353,"Bismarck, ND",2020,61404
354,"Blacksburg-Christiansburg, VA",2020,40692
355,"Boston-Cambridge-Newton, MA-NH",2020,85724
356,"Brownsville-Harlingen, TX",2020,33690
357,"Buffalo-Cheektowaga, NY",2020,55777
358,"Burlington-South Burlington, VT",2020,61802
359,"Boston-Cambridge-Newton, MA-NH",2020,85724
360,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
361,"Cape Coral-Fort Myers, FL",2020,54707
362,"Charlotte-Concord-Gastonia, NC-SC",2020,56682
363,"Chicago-Naperville-Arlington Heights, IL",2020,
364,"Cleveland-Elyria, OH",2020,58846
365,"College Station-Bryan, TX",2020,44037
366,"Colorado Springs, CO",2020,54166
367,"Columbia, MO",2020,50421
