MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
"Sacramento-Roseville-Folsom, CA",4,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
"St. Louis, MO-IL",3,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
"Salt Lake City, UT",4,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
"San Antonio-New Braunfels, TX",4,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
"San Diego-Chula Vista-Carlsbad, CA",4,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
"San Francisco-Oakland-Berkeley, CA",4,2.65,0.49,0.64,0.3,0.9,"1,116,534",0.04,0.11,0.43,0.66,0.75,0.33,0.04,0.06
"San Jose-Sunnyvale-Santa Clara, CA",4,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
"Santa Rosa-Petaluma, CA",4,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
"Scranton--Wilkes-Barre, PA",4,2.35,0.46,0.73,0.23,0.91,"121,783",0.07,0.16,0.56,0.6,0.69,0.43,0.06,0.09
"Seattle-Tacoma-Bellevue, WA",4,2.49,0.52,0.7,0.25,0.94,"993,559",0.07,0.11,0.5,0.68,0.76,0.3,0.06,0.05
"Spokane-Spokane Valley, WA",4,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
"Springfield, MA",4,2.38,0.41,0.63,0.33,0.9,"170,335",0.06,0.16,0.38,0.59,0.68,0.45,0.03,0.1
"Stockton, CA",4,3.2,0.47,0.76,0.19,0.79,"187,895",0.04,0.12,0.45,0.6,0.59,0.45,0.06,0.09
"Syracuse, NY",4,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
"Tampa-St. Petersburg-Clearwater, FL",4,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
"Toledo, OH",3,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
"Tucson, AZ",4,2.37,0.46,0.68,0.28,0.9,"239,465",0.1,0.15,0.42,0.59,0.63,0.43,0.09,0.1
"Tulsa, OK",3,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
"Urban Honolulu, HI",4,2.85,0.51,0.63,0.31,0.93,"221,002",0.09,0.12,0.36,0.65,0.77,0.38,0.04,0.07
"Virginia Beach-Norfolk-Newport News, VA-NC",4,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
"Wichita, KS",4,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
"Winston-Salem, NC",4,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
"Worcester, MA-CT",4,2.49,0.48,0.69,0.27,0.91,"225,928",0.05,0.13,0.46,0.67,0.73,0.38,0.03,0.07
"Youngstown-Warren-Boardman, OH-PA",3,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
