MSA,year,income_pc
"Cleveland-Elyria, OH",2019,55294
"Coeur d'Alene, ID",2019,46762
"College Station-Bryan, TX",2019,41965
"Colorado Springs, CO",2019,50862
"Columbia, MO",2019,47977
"Columbia, SC",2019,46273
"Columbus, GA-AL",2019,41806
"Columbus, IN",2019,53268
"Columbus, OH",2019,52522
"Corpus Christi, TX",2019,46336
"Corvallis, OR",2019,47920
"Crestview-Fort Walton Beach-Destin, FL",2019,55156
"Cumberland, MD-WV",2019,41166
"Dallas-Fort Worth-Arlington, TX",2019,59409
"Dalton, GA",2019,37995
"Danville, IL",2019,39696
"Daphne-Fairhope-Foley, AL",2019,48270
"Davenport-Moline-Rock Island, IA-IL",2019,49614
"Dayton-Kettering, OH",2019,48990
"Decatur, AL",2019,40499
"Decatur, IL",2019,48151
"Deltona-Daytona Beach-Ormond Beach, FL",2019,45174
"Denver-Aurora-Lakewood, CO",2019,67089
"Des Moines-West Des Moines, IA",2019,55065
"Detroit-Warren-Dearborn, MI",2019,54213
"Dothan, AL",2019,42857
"Dover, DE",2019,43761
"Dubuque, IA",2019,51329
"Duluth, MN-WI",2019,47150
"Durham-Chapel Hill, NC",2019,54408
"East Stroudsburg, PA",2019,44150
"Eau Claire, WI",2019,48822
"El Centro, CA",2019,37196
"Elizabethtown-Fort Knox, KY",2019,43331
"Elkhart-Goshen, IN",2019,46845
"Elmira, NY",2019,45658
"El Paso, TX",2019,38681
"Enid, OK",2019,45053
"Erie, PA",2019,46259
"Eugene-Springfield, OR",2019,45960
"Evansville, IN-KY",2019,49168
"Fairbanks, AK",2019,59194
"Fargo, ND-MN",2019,55292
"Farmington, NM",2019,36095
"Fayetteville, NC",2019,38060
"Fayetteville-Springdale-Rogers, AR",2019,68808
"Flagstaff, AZ",2019,48837
"Flint, MI",2019,41940
"Florence, SC",2019,42238
"Florence-Muscle Shoals, AL",2019,38405
"Fond du Lac, WI",2019,49922
"Fort Collins, CO",2019,55935
"Fort Smith, AR-OK",2019,38666
"Fort Wayne, IN",2019,47762
"Fresno, CA",2019,43019
"Gadsden, AL",2019,37700
"Gainesville, FL",2019,44734
"Gainesville, GA",2019,46409
"Gettysburg, PA",2019,50785
"Glens Falls, NY",2019,48527
"Goldsboro, NC",2019,40116
"Grand Forks, ND-MN",2019,51429
"Grand Island, NE",2019,44836
"Grand Junction, CO",2019,45898
"Grand Rapids-Kentwood, MI",2019,50474
"Grants Pass, OR",2019,43694
"Great Falls, MT",2019,49201
"Greeley, CO",2019,48923
"Green Bay, WI",2019,52453
"Greensboro-High Point, NC",2019,44456
"Greenville, NC",2019,42882
"Greenville-Anderson, SC",2019,45505
"Gulfport-Biloxi, MS",2019,37983
"Hagerstown-Martinsburg, MD-WV",2019,44637
"Hammond, LA",2019,38963
"Hanford-Corcoran, CA",2019,36442
"Harrisburg-Carlisle, PA",2019,54304
"Harrisonburg, VA",2019,40413
"Hartford-East Hartford-Middletown, CT",2019,64101
"Hattiesburg, MS",2019,39076
"Hickory-Lenoir-Morganton, NC",2019,40607
"Hilton Head Island-Bluffton, SC",2019,55636
"Hinesville, GA",2019,34832
"Homosassa Springs, FL",2019,39701
"Hot Springs, AR",2019,41502
"Houma-Thibodaux, LA",2019,44110
"Houston-The Woodlands-Sugar Land, TX",2019,58884
"Huntington-Ashland, WV-KY-OH",2019,41287
"Huntsville, AL",2019,52208
"Idaho Falls, ID",2019,49578
"Indianapolis-Carmel-Anderson, IN",2019,57629
"Iowa City, IA",2019,55538
"Ithaca, NY",2019,46052
"Jackson, MI",2019,40413
"Jackson, MS",2019,44794
"Jackson, TN",2019,41503
"Jacksonville, FL",2019,52184
"Jacksonville, NC",2019,40671
"Janesville-Beloit, WI",2019,46018
"Jefferson City, MO",2019,44548
"Johnson City, TN",2019,41519
"Johnstown, PA",2019,44620
"Jonesboro, AR",2019,37719
"Joplin, MO",2019,40691
"Kahului-Wailuku-Lahaina, HI",2019,50536
"Kalamazoo-Portage, MI",2019,49305
"Kankakee, IL",2019,42857
"Kansas City, MO-KS",2019,55691
"Kennewick-Richland, WA",2019,45361
"Killeen-Temple, TX",2019,43033
"Kingsport-Bristol, TN-VA",2019,40540
"Kingston, NY",2019,52554
"Knoxville, TN",2019,48179
"Kokomo, IN",2019,42409
"La Crosse-Onalaska, WI-MN",2019,52084
"Lafayette, LA",2019,44556
"Lafayette-West Lafayette, IN",2019,40106
"Lake Charles, LA",2019,49517
"Lake Havasu City-Kingman, AZ",2019,34274
"Lakeland-Winter Haven, FL",2019,37183
"Lancaster, PA",2019,54529
"Lansing-East Lansing, MI",2019,42535
"Laredo, TX",2019,33305
"Las Cruces, NM",2019,37413
"Las Vegas-Henderson-Paradise, NV",2019,49225
"Lawrence, KS",2019,45174
"Lawton, OK",2019,42700
"Lebanon, PA",2019,49099
"Lewiston, ID-WA",2019,46255
"Lewiston-Auburn, ME",2019,42698
"Lexington-Fayette, KY",2019,49814
"Lima, OH",2019,43268
"Lincoln, NE",2019,50565
"Little Rock-North Little Rock-Conway, AR",2019,47032
"Logan, UT-ID",2019,41538
"Longview, TX",2019,43575
"Longview, WA",2019,45124
"Los Angeles-Long Beach-Anaheim, CA",2019,64705
"Louisville/Jefferson County, KY-IN",2019,52288
"Lubbock, TX",2019,44706
"Lynchburg, VA",2019,40521
"Macon-Bibb County, GA",2019,41402
"Madera, CA",2019,38751
"Madison, WI",2019,61743
"Manchester-Nashua, NH",2019,62752
"Manhattan, KS",2019,47291
"Mankato, MN",2019,46951
"Mansfield, OH",2019,40313
"McAllen-Edinburg-Mission, TX",2019,28091
"Medford, OR",2019,47708
"Memphis, TN-MS-AR",2019,47904
"Merced, CA",2019,37952
"Miami-Fort Lauderdale-Pompano Beach, FL",2019,61362
"Michigan City-La Porte, IN",2019,43065
"Midland, MI",2019,54477
"Midland, TX",2019,135900
"Milwaukee-Waukesha, WI",2019,57860
"Minneapolis-St. Paul-Bloomington, MN-WI",2019,64270
"Missoula, MT",2019,51738
"Mobile, AL",2019,39910
"Modesto, CA",2019,43402
"Monroe, LA",2019,41691
"Monroe, MI",2019,48696
"Montgomery, AL",2019,44473
"Morgantown, WV",2019,44753
"Morristown, TN",2019,37563
"Mount Vernon-Anacortes, WA",2019,53221
"Muncie, IN",2019,38153
"Muskegon, MI",2019,39769
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2019,41213
"Napa, CA",2019,73886
"Naples-Marco Island, FL",2019,103205
"Nashville-Davidson--Murfreesboro--Franklin, TN",2019,61516
"New Bern, NC",2019,44765
"New Haven-Milford, CT",2019,56710
"New Orleans-Metairie, LA",2019,54660
"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
"Niles, MI",2019,48231
"North Port-Sarasota-Bradenton, FL",2019,59917
"Norwich-New London, CT",2019,58122
"Ocala, FL",2019,38754
"Ocean City, NJ",2019,63203
"Odessa, TX",2019,52079
"Ogden-Clearfield, UT",2019,46201
"Oklahoma City, OK",2019,51408
"Olympia-Lacey-Tumwater, WA",2019,52010
"Omaha-Council Bluffs, NE-IA",2019,58368
"Orlando-Kissimmee-Sanford, FL",2019,45718
"Oshkosh-Neenah, WI",2019,48943
"Owensboro, KY",2019,42380
"Oxnard-Thousand Oaks-Ventura, CA",2019,63190
"Palm Bay-Melbourne-Titusville, FL",2019,48539
"Panama City, FL",2019,46818
"Parkersburg-Vienna, WV",2019,45758
"Pensacola-Ferry Pass-Brent, FL",2019,45259
"Peoria, IL",2019,48746
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
"Phoenix-Mesa-Chandler, AZ",2019,48082
"Pine Bluff, AR",2019,35151
"Pittsburgh, PA",2019,59494
"Pittsfield, MA",2019,57300
"Pocatello, ID",2019,38901
"Portland-South Portland, ME",2019,59724
"Portland-Vancouver-Hillsboro, OR-WA",2019,58941
"Port St. Lucie, FL",2019,56602
"Poughkeepsie-Newburgh-Middletown, NY",2019,55508
"Prescott Valley-Prescott, AZ",2019,41076
"Providence-Warwick, RI-MA",2019,56197
"Provo-Orem, UT",2019,43520
"Pueblo, CO",2019,39533
"Punta Gorda, FL",2019,43549
"Racine, WI",2019,50729
"Raleigh-Cary, NC",2019,58147
"Rapid City, SD",2019,52133
"Reading, PA",2019,51606
"Redding, CA",2019,46417
"Reno, NV",2019,62954
"Richmond, VA",2019,58111
"Riverside-San Bernardino-Ontario, CA",2019,40988
"Roanoke, VA",2019,46891
"Rochester, MN",2019,55770
"Rochester, NY",2019,52480
"Rockford, IL",2019,44621
"Rocky Mount, NC",2019,40816
"Rome, GA",2019,38630
"Sacramento-Roseville-Folsom, CA",2019,57014
"Saginaw, MI",2019,41659
"St. Cloud, MN",2019,47119
"St. George, UT",2019,41869
"St. Joseph, MO-KS",2019,40709
"St. Louis, MO-IL",2019,57615
"Salem, OR",2019,44118
"Salinas, CA",2019,56545
"Salisbury, MD-DE",2019,49074
"Salt Lake City, UT",2019,54456
"San Angelo, TX",2019,51990
"San Antonio-New Braunfels, TX",2019,48025
"San Diego-Chula Vista-Carlsbad, CA",2019,60845
"San Francisco-Oakland-Berkeley, CA",2019,102406
"San Jose-Sunnyvale-Santa Clara, CA",2019,112693
"San Luis Obispo-Paso Robles, CA",2019,58693
"Santa Cruz-Watsonville, CA",2019,68990
"Santa Fe, NM",2019,60301
"Santa Maria-Santa Barbara, CA",2019,62715
"Santa Rosa-Petaluma, CA",2019,64869
"Savannah, GA",2019,47964
"Scranton--Wilkes-Barre, PA",2019,46925
"Seattle-Tacoma-Bellevue, WA",2019,75970
"Sebastian-Vero Beach, FL",2019,83241
"Sebring-Avon Park, FL",2019,34433
"Sheboygan, WI",2019,53217
"Sherman-Denison, TX",2019,44585
"Shreveport-Bossier City, LA",2019,48256
"Sierra Vista-Douglas, AZ",2019,40546
"Sioux City, IA-NE-SD",2019,52855
"Sioux Falls, SD",2019,64219
"South Bend-Mishawaka, IN-MI",2019,47759
"Spartanburg, SC",2019,44151
"Spokane-Spokane Valley, WA",2019,46337
"Springfield, IL",2019,49212
"Springfield, MA",2019,53413
"Springfield, MO",2019,42993
"Springfield, OH",2019,41625
"State College, PA",2019,47947
"Staunton, VA",2019,44917
"Stockton, CA",2019,45075
"Sumter, SC",2019,38573
"Syracuse, NY",2019,51181
"Tallahassee, FL",2019,44003
