,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
38994,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
38995,"Chico, CA",,,,,,,,,,,,,,,
38996,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
38997,"College Station-Bryan, TX",,,,,,,,,,,,,,,
38998,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
38999,"Columbus, GA-AL",,,,,,,,,,,,,,,
39000,"Columbus, OH",4.0,2.45,0.48,0.7,0.24,0.92,"530,168",0.06,0.12,0.48,0.67,0.7,0.33,0.08,0.09
39001,"Corpus Christi, TX",,,,,,,,,,,,,,,
39002,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
39003,"Daphne-Fairhope-Foley, AL",,,,,,,,,,,,,,,
39004,"Davenport-Moline-Rock Island, IA-IL",,,,,,,,,,,,,,,
39005,"Dayton, OH",,,,,,,,,,,,,,,
39006,"Decatur, IL",,,,,,,,,,,,,,,
39007,"Deltona-Daytona Beach-Ormond Beach, FL",3.0,2.31,0.49,0.7,0.24,0.92,"131,589",0.1,0.18,0.39,0.52,0.6,0.43,0.13,0.08
39008,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
39009,"Des Moines-West Des Moines, IA",3.0,2.42,0.52,0.74,0.19,0.93,"173,385",0.06,0.11,0.48,0.71,0.75,0.32,0.04,0.05
39010,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
39011,"Dothan, AL",,,,,,,,,,,,,,,
39012,"Dover, DE",,,,,,,,,,,,,,,
39013,"Durham-Chapel Hill, NC",4.0,2.36,0.46,0.59,0.37,0.91,"166,768",0.06,0.12,0.57,0.62,0.72,0.31,0.1,0.09
39014,"Dutchess County-Putnam County, NY",,,,,,,,,,,,,,,
39015,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
39016,"El Paso, TX",4.0,2.87,0.46,0.69,0.26,0.81,"211,861",0.08,0.14,0.49,0.63,0.52,0.35,0.22,0.17
39017,"Fayetteville-Springdale-Rogers, AR",3.0,2.65,0.52,0.73,0.22,0.89,"141,373",0.07,0.1,0.71,0.66,0.64,0.34,0.11,0.07
39018,"Flint, MI",,,,,,,,,,,,,,,
39019,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,
39020,"Fond du Lac, WI",,,,,,,,,,,,,,,
39021,"Fort Collins, CO",,,,,,,,,,,,,,,
39022,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
39023,"Fort Smith, AR-OK",,,,,,,,,,,,,,,
39024,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
39025,"Gainesville, GA",,,,,,,,,,,,,,,
39026,"Grand Forks, ND-MN",,,,,,,,,,,,,,,
39027,"Grand Junction, CO",,,,,,,,,,,,,,,
39028,"Grand Rapids-Kentwood, MI",3.0,2.59,0.52,0.74,0.2,0.92,"260,321",0.05,0.11,0.5,0.67,0.75,0.33,0.05,0.06
39029,"Greeley, CO",,,,,,,,,,,,,,,
39030,"Green Bay, WI",,,,,,,,,,,,,,,
39031,"Greensboro-High Point, NC",4.0,2.46,0.46,0.67,0.28,0.89,"188,414",0.06,0.14,0.52,0.62,0.66,0.36,0.1,0.11
39032,"Greenville, NC",,,,,,,,,,,,,,,
39033,"Gulfport-Biloxi, MS",,,,,,,,,,,,,,,
39034,"Harrisburg-Carlisle, PA",4.0,2.36,0.51,0.77,0.19,0.92,"131,739",0.08,0.12,0.45,0.64,0.75,0.36,0.05,0.07
39035,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,
39036,"Houston-The Woodlands-Sugar Land, TX",3.0,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
39037,"Huntsville, AL",4.0,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
39038,"Jackson, MS",3.0,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
39039,"Jacksonville, FL",3.0,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
39040,"Johnson City, TN",,,,,,,,,,,,,,,
39041,"Kalamazoo-Portage, MI",,,,,,,,,,,,,,,
39042,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
39043,"Killeen-Temple, TX",,,,,,,,,,,,,,,
39044,"Knoxville, TN",4.0,2.42,0.49,0.68,0.26,0.91,"204,937",0.08,0.15,0.57,0.6,0.69,0.37,0.09,0.08
39045,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
39046,"Lake Havasu City-Kingman, AZ",,,,,,,,,,,,,,,
39047,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
39048,"Lancaster, PA",4.0,2.57,0.56,0.77,0.2,0.88,"121,378",0.06,0.12,0.37,0.66,0.69,0.35,0.11,0.06
39049,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
39050,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
39051,"Lawrence, KS",,,,,,,,,,,,,,,
39052,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
39053,"Lynchburg, VA",,,,,,,,,,,,,,,
39054,"Macon-Bibb County, GA",,,,,,,,,,,,,,,
39055,"Madera, CA",,,,,,,,,,,,,,,
39056,"Madison, WI",3.0,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
39057,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
39058,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
39059,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
39060,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
39061,"Mobile, AL",,,,,,,,,,,,,,,
39062,"Modesto, CA",4.0,3.14,0.47,0.77,0.19,0.78,"132,786",0.04,0.12,0.53,0.62,0.57,0.44,0.08,0.11
39063,"Monroe, MI",,,,,,,,,,,,,,,
39064,"Montgomery, AL",,,,,,,,,,,,,,,
39065,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
39066,"Morristown, TN",,,,,,,,,,,,,,,
39067,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
39068,"Naples-Marco Island, FL",,,,,,,,,,,,,,,
39069,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
39070,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
39071,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
39072,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
39073,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
39074,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
39075,"Ocala, FL",,,,,,,,,,,,,,,
39076,"Ocean City, NJ",,,,,,,,,,,,,,,
39077,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
39078,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
39079,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
39080,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
39081,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
39082,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
39083,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
39084,"Parkersburg-Vienna, WV",,,,,,,,,,,,,,,
39085,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
39086,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
39087,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
39088,"Pittsburgh, PA",3.0,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
39089,"Portland-Vancouver-Hillsboro, OR-WA",4.0,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
39090,"Port St. Lucie, FL",4.0,2.47,0.49,0.75,0.2,0.91,"92,503",0.1,0.14,0.34,0.55,0.61,0.44,0.12,0.07
39091,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
39092,"Pueblo, CO",,,,,,,,,,,,,,,
39093,"Punta Gorda, FL",,,,,,,,,,,,,,,
39094,"Raleigh-Cary, NC",4.0,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
39095,"Reading, PA",,,,,,,,,,,,,,,
39096,"Redding, CA",,,,,,,,,,,,,,,
39097,"Reno, NV",,,,,,,,,,,,,,,
39098,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
39099,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
39100,"Roanoke, VA",,,,,,,,,,,,,,,
39101,"Rochester, MN",,,,,,,,,,,,,,,
39102,"Rockford, IL",,,,,,,,,,,,,,,
39103,"Rocky Mount, NC",,,,,,,,,,,,,,,
39104,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
39105,"Saginaw, MI",,,,,,,,,,,,,,,
39106,"St. Joseph, MO-KS",,,,,,,,,,,,,,,
39107,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
39108,"Salinas, CA",,,,,,,,,,,,,,,
39109,"Salisbury, MD-DE",,,,,,,,,,,,,,,
39110,"Salt Lake City, UT",4.0,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
39111,"San Angelo, TX",,,,,,,,,,,,,,,
39112,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
39113,"San Diego-Chula Vista-Carlsbad, CA",4.0,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
39114,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
39115,"San Jose-Sunnyvale-Santa Clara, CA",4.0,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
39116,"San Rafael, CA",,,,,,,,,,,,,,,
39117,"Santa Cruz-Watsonville, CA",,,,,,,,,,,,,,,
39118,"Santa Maria-Santa Barbara, CA",,,,,,,,,,,,,,,
39119,"Santa Rosa-Petaluma, CA",4.0,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
39120,"Savannah, GA",,,,,,,,,,,,,,,
39121,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
39122,"Sherman-Denison, TX",,,,,,,,,,,,,,,
39123,"Silver Spring-Frederick-Rockville, MD",,,,,,,,,,,,,,,
39124,"Sioux Falls, SD",,,,,,,,,,,,,,,
39125,"Spokane-Spokane Valley, WA",4.0,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
39126,"Springfield, MO",,,,,,,,,,,,,,,
39127,"Staunton, VA",,,,,,,,,,,,,,,
39128,"Stockton, CA",4.0,3.2,0.47,0.76,0.19,0.79,"187,895",0.04,0.12,0.45,0.6,0.59,0.45,0.06,0.09
39129,"Syracuse, NY",4.0,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
39130,"Tallahassee, FL",,,,,,,,,,,,,,,
39131,"Tampa-St. Petersburg-Clearwater, FL",4.0,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
39132,"Texarkana, TX-AR",,,,,,,,,,,,,,,
39133,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
39134,"Trenton-Princeton, NJ",,,,,,,,,,,,,,,
39135,"Tucson, AZ",4.0,2.37,0.46,0.68,0.28,0.9,"239,465",0.1,0.15,0.42,0.59,0.63,0.43,0.09,0.1
39136,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
39137,"Urban Honolulu, HI",4.0,2.85,0.51,0.63,0.31,0.93,"221,002",0.09,0.12,0.36,0.65,0.77,0.38,0.04,0.07
39138,"Vallejo, CA",,,,,,,,,,,,,,,
39139,"Virginia Beach-Norfolk-Newport News, VA-NC",4.0,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
39140,"Visalia, CA",,,,,,,,,,,,,,,
39141,"Waco, TX",,,,,,,,,,,,,,,
39142,"Warner Robins, GA",,,,,,,,,,,,,,,
39143,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
39144,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
39145,"West Palm Beach-Boca Raton-Delray Beach, FL",,,,,,,,,,,,,,,
39146,"Wheeling, WV-OH",,,,,,,,,,,,,,,
39147,"Wichita, KS",4.0,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
39148,"Wichita Falls, TX",,,,,,,,,,,,,,,
39149,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
39150,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
39151,"York-Hanover, PA",,,,,,,,,,,,,,,
39152,"Youngstown-Warren-Boardman, OH-PA",3.0,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
39153,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
39154,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
39155,"Ann Arbor, MI",,,,,,,,,,,,,,,
39156,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
39157,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
39158,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
39159,"Canton-Massillon, OH",,,,,,,,,,,,,,,
39160,"Charlotte-Concord-Gastonia, NC-SC",4.0,2.54,0.49,0.75,0.19,0.9,"673,803",0.06,0.11,0.57,0.67,0.69,0.31,0.1,0.08
39161,"Charlottesville, VA",,,,,,,,,,,,,,,
39162,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
39163,"Chico, CA",,,,,,,,,,,,,,,
39164,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
39165,"Columbia, MO",,,,,,,,,,,,,,,
39166,"Daphne-Fairhope-Foley, AL",,,,,,,,,,,,,,,
39167,"Dayton, OH",,,,,,,,,,,,,,,
39168,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
39169,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
39170,"East Stroudsburg, PA",,,,,,,,,,,,,,,
39171,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
39172,"Flint, MI",,,,,,,,,,,,,,,
39173,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,
39174,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
39175,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
39176,"Harrisburg-Carlisle, PA",4.0,2.36,0.51,0.77,0.19,0.92,"131,739",0.08,0.12,0.45,0.64,0.75,0.36,0.05,0.07
39177,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,
39178,"Jackson, MI",,,,,,,,,,,,,,,
39179,"Jackson, MS",3.0,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
39180,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
39181,"Killeen-Temple, TX",,,,,,,,,,,,,,,
39182,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
39183,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
39184,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
39185,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
39186,"Lynchburg, VA",,,,,,,,,,,,,,,
39187,"Madison, WI",3.0,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
39188,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
39189,"Monroe, MI",,,,,,,,,,,,,,,
39190,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
39191,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
39192,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
39193,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
39194,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
39195,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
39196,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
39197,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
39198,"Reading, PA",,,,,,,,,,,,,,,
39199,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
39200,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
39201,"Roanoke, VA",,,,,,,,,,,,,,,
39202,"Rockford, IL",,,,,,,,,,,,,,,
39203,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
39204,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
39205,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
39206,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
39207,"San Jose-Sunnyvale-Santa Clara, CA",4.0,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
39208,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
39209,"Sioux Falls, SD",,,,,,,,,,,,,,,
39210,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
39211,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
39212,"Tuscaloosa, AL",,,,,,,,,,,,,,,
39213,"Vallejo, CA",,,,,,,,,,,,,,,
39214,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
39215,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
39216,"Wenatchee, WA",,,,,,,,,,,,,,,
39217,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
39218,"York-Hanover, PA",,,,,,,,,,,,,,,
39219,"Youngstown-Warren-Boardman, OH-PA",3.0,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
39220,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
39221,"Albany-Schenectady-Troy, NY",3.0,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
39222,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
39223,"Ann Arbor, MI",,,,,,,,,,,,,,,
39224,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
39225,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
39226,"Burlington, NC",,,,,,,,,,,,,,,
39227,"Canton-Massillon, OH",,,,,,,,,,,,,,,
39228,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
39229,"Chico, CA",,,,,,,,,,,,,,,
39230,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
39231,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
39232,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
39233,"Daphne-Fairhope-Foley, AL",,,,,,,,,,,,,,,
39234,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
