,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
117,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
118,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
119,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
120,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
121,"Peoria, IL",,,,,,,,,,,,,,,
122,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
123,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
124,"Pittsburgh, PA",3.0,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
125,"Portland-Vancouver-Hillsboro, OR-WA",4.0,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
126,"Prescott, AZ",,,,,,,,,,,,,,,
127,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
128,"Provo-Orem, UT",4.0,3.45,0.59,0.63,0.32,0.95,"189,110",0.03,0.09,0.6,0.71,0.82,0.17,0.08,0.05
129,"Raleigh-Cary, NC",4.0,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
130,"Reading, PA",,,,,,,,,,,,,,,
131,"Reno, NV",,,,,,,,,,,,,,,
132,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
133,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
134,"Roanoke, VA",,,,,,,,,,,,,,,
135,"Rochester, NY",3.0,2.3,0.45,0.67,0.28,0.91,"244,974",0.06,0.14,0.37,0.63,0.71,0.4,0.04,0.08
136,"Rockford, IL",,,,,,,,,,,,,,,
137,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
138,"St. Cloud, MN",,,,,,,,,,,,,,,
139,"St. George, UT",,,,,,,,,,,,,,,
140,"St. Joseph, MO-KS",,,,,,,,,,,,,,,
141,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
142,"Salem, OR",,,,,,,,,,,,,,,
143,"Salt Lake City, UT",4.0,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
144,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
145,"San Diego-Chula Vista-Carlsbad, CA",4.0,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
146,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
147,"San Jose-Sunnyvale-Santa Clara, CA",4.0,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
148,"San Rafael, CA",,,,,,,,,,,,,,,
149,"Santa Cruz-Watsonville, CA",,,,,,,,,,,,,,,
150,"Santa Maria-Santa Barbara, CA",,,,,,,,,,,,,,,
151,"Santa Rosa-Petaluma, CA",4.0,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
152,"Savannah, GA",,,,,,,,,,,,,,,
153,"Scranton--Wilkes-Barre, PA",4.0,2.35,0.46,0.73,0.23,0.91,"121,783",0.07,0.16,0.56,0.6,0.69,0.43,0.06,0.09
154,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
155,"Sebring-Avon Park, FL",,,,,,,,,,,,,,,
156,"Sierra Vista-Douglas, AZ",,,,,,,,,,,,,,,
157,"Silver Spring-Frederick-Rockville, MD",,,,,,,,,,,,,,,
158,"Sioux Falls, SD",,,,,,,,,,,,,,,
159,"Spokane-Spokane Valley, WA",4.0,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
160,"Springfield, IL",,,,,,,,,,,,,,,
161,"Stockton, CA",4.0,3.2,0.47,0.76,0.19,0.79,"187,895",0.04,0.12,0.45,0.6,0.59,0.45,0.06,0.09
162,"Syracuse, NY",4.0,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
163,"Tampa-St. Petersburg-Clearwater, FL",4.0,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
164,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
165,"Topeka, KS",,,,,,,,,,,,,,,
166,"Trenton-Princeton, NJ",,,,,,,,,,,,,,,
167,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
168,"Tyler, TX",,,,,,,,,,,,,,,
169,"Valdosta, GA",,,,,,,,,,,,,,,
170,"Victoria, TX",,,,,,,,,,,,,,,
171,"Virginia Beach-Norfolk-Newport News, VA-NC",4.0,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
172,"Waco, TX",,,,,,,,,,,,,,,
173,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
174,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
175,"Wausau-Weston, WI",,,,,,,,,,,,,,,
176,"West Palm Beach-Boca Raton-Delray Beach, FL",,,,,,,,,,,,,,,
177,"Wichita, KS",4.0,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
178,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
179,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
180,"York-Hanover, PA",,,,,,,,,,,,,,,
181,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
182,"Albany, GA",,,,,,,,,,,,,,,
183,"Albany-Schenectady-Troy, NY",3.0,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
184,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
185,"Anaheim-Santa Ana-Irvine, CA",,,,,,,,,,,,,,,
186,"Ann Arbor, MI",,,,,,,,,,,,,,,
187,"Anniston-Oxford, AL",,,,,,,,,,,,,,,
188,"Athens-Clarke County, GA",,,,,,,,,,,,,,,
189,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
190,"Atlantic City-Hammonton, NJ",,,,,,,,,,,,,,,
191,"Augusta-Richmond County, GA-SC",4.0,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
192,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
193,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
194,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,
195,"Birmingham-Hoover, AL",3.0,2.5,0.47,0.75,0.17,0.9,"264,679",0.06,0.15,0.58,0.61,0.69,0.35,0.08,0.1
196,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
197,"Brownsville-Harlingen, TX",,,,,,,,,,,,,,,
198,"Buffalo-Cheektowaga, NY",4.0,2.25,0.44,0.68,0.27,0.93,"260,535",0.06,0.14,0.36,0.63,0.7,0.44,0.03,0.1
199,"Burlington-South Burlington, VT",,,,,,,,,,,,,,,
200,"California-Lexington Park, MD",,,,,,,,,,,,,,,
201,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
202,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
203,"Canton-Massillon, OH",,,,,,,,,,,,,,,
204,"Cape Coral-Fort Myers, FL",4.0,2.43,0.53,0.75,0.21,0.9,"147,478",0.08,0.14,0.39,0.53,0.61,0.45,0.11,0.09
205,"Cedar Rapids, IA",,,,,,,,,,,,,,,
206,"Champaign-Urbana, IL",,,,,,,,,,,,,,,
207,"Charleston, WV",,,,,,,,,,,,,,,
208,"Charlotte-Concord-Gastonia, NC-SC",4.0,2.54,0.49,0.75,0.19,0.9,"673,803",0.06,0.11,0.57,0.67,0.69,0.31,0.1,0.08
209,"Cheyenne, WY",,,,,,,,,,,,,,,
210,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
211,"Chico, CA",,,,,,,,,,,,,,,
212,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
213,"College Station-Bryan, TX",,,,,,,,,,,,,,,
214,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
215,"Columbus, GA-AL",,,,,,,,,,,,,,,
216,"Columbus, OH",4.0,2.45,0.48,0.7,0.24,0.92,"530,168",0.06,0.12,0.48,0.67,0.7,0.33,0.08,0.09
217,"Crestview-Fort Walton Beach-Destin, FL",,,,,,,,,,,,,,,
218,"Cumberland, MD-WV",,,,,,,,,,,,,,,
219,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
220,"Dayton, OH",,,,,,,,,,,,,,,
221,"Decatur, AL",,,,,,,,,,,,,,,
222,"Deltona-Daytona Beach-Ormond Beach, FL",3.0,2.31,0.49,0.7,0.24,0.92,"131,589",0.1,0.18,0.39,0.52,0.6,0.43,0.13,0.08
223,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
